8,32,128,10,10,os,583,56.206
32,16,64,10,10,os,655,50.027
16,16,128,10,10,os,583,56.206
32,32,32,10,10,os,799,41.011
8,32,64,10,10,os,327,50.104
32,16,32,10,10,os,399,41.063
16,16,64,10,10,os,327,50.104
32,32,16,10,10,os,543,30.173
8,32,32,10,10,os,199,41.166
32,16,16,10,10,os,271,30.229
16,16,32,10,10,os,199,41.166
32,32,8,10,10,os,415,19.740
8,64,64,10,10,os,573,57.187
16,64,32,10,10,os,699,46.878
32,64,16,10,10,os,951,34.456
8,64,32,10,10,os,349,46.946
16,64,16,10,10,os,475,34.493
32,64,8,10,10,os,727,22.536
8,128,32,10,10,os,649,50.490
16,128,16,10,10,os,883,37.110
32,128,8,10,10,os,1351,24.255
64,64,8,10,10,os,1273,25.741
8,32,16,10,10,os,135,30.341
32,16,8,10,10,os,207,19.787
16,16,16,10,10,os,135,30.341
32,32,4,10,10,os,351,11.670
8,32,8,10,10,os,103,19.883
32,16,4,10,10,os,175,11.703
16,16,8,10,10,os,103,19.883
32,32,2,10,10,os,319,6.420
8,32,4,10,10,os,87,11.770
32,16,2,10,10,os,159,6.440
16,16,4,10,10,os,87,11.770
32,32,1,10,10,os,303,3.380
8,32,2,10,10,os,79,6.481
32,16,1,10,10,os,151,3.391
16,16,2,10,10,os,79,6.481
8,32,1,10,10,os,75,3.413
16,16,1,10,10,os,75,3.413
64,16,8,10,10,os,363,22.567
64,32,4,10,10,os,615,13.320
64,8,16,10,10,os,237,34.565
64,16,4,10,10,os,307,13.342
64,32,2,10,10,os,559,7.327
64,8,8,10,10,os,181,22.630
64,16,2,10,10,os,279,7.341
64,32,1,10,10,os,531,3.857
64,8,4,10,10,os,153,13.386
64,16,1,10,10,os,265,3.864
64,8,2,10,10,os,139,7.367
64,8,1,10,10,os,132,3.879
128,16,8,10,10,os,675,24.273
128,32,4,10,10,os,1143,14.334
128,8,16,10,10,os,441,37.152
128,16,4,10,10,os,571,14.347
128,32,2,10,10,os,1039,7.885
128,8,8,10,10,os,337,24.309
128,16,2,10,10,os,519,7.892
128,32,1,10,10,os,987,4.150
128,8,4,10,10,os,285,14.372
128,16,1,10,10,os,493,4.154
128,8,2,10,10,os,259,7.907
128,8,1,10,10,os,246,4.163
64,64,4,10,10,os,1077,15.213
64,64,2,10,10,os,979,8.368
64,64,1,10,10,os,930,4.404
128,64,4,10,10,os,2001,16.376
128,64,2,10,10,os,1819,9.007
128,64,1,10,10,os,1728,4.741
128,128,2,10,10,os,3379,9.698
128,128,1,10,10,os,3210,5.104
